Exterior1st,Neighborhood,MSSubClass,OverallQual,GarageFinish,BsmtQual,HeatingQC,TotRmsAbvGrd,GarageCars,FullBath,Dure_house,Dure_garage,SalePrice
0.1481164383561644,147408.20441988952,20.0,5.0,2.0,3.0,2.0,0.24999999999999997,0.25,0.3333333333333333,0.8852459016393444,1.0,0.15504858470637936
0.3595890410958904,196540.64615384614,60.0,6.0,2.0,4.0,3.0,0.41666666666666663,0.5,0.6666666666666666,0.26229508196721313,1.0,0.2015209125475285
0.1481164383561644,127908.85057471265,30.0,5.0,0.0,2.0,3.0,0.16666666666666666,0.0,0.3333333333333333,0.9672131147540984,0.0,0.07055344317701731
0.1464041095890411,144823.04761904763,50.0,5.0,1.0,4.0,4.0,0.41666666666666663,0.25,0.3333333333333333,0.9508196721311476,1.0,0.19729615547106039
0.03424657534246575,144823.04761904763,50.0,5.0,1.0,3.0,2.0,0.33333333333333337,0.25,0.6666666666666666,1.0,1.0,0.12970004224757076
0.3595890410958904,201112.00869565218,20.0,5.0,1.0,3.0,2.0,0.24999999999999997,0.5,0.3333333333333333,0.5737704918032788,1.0,0.1619490212646106
0.3595890410958904,196540.64615384614,60.0,6.0,3.0,4.0,4.0,0.33333333333333337,0.5,0.6666666666666666,0.0819672131147541,1.0,0.1958879031122377
0.3595890410958904,106623.07692307692,50.0,4.0,1.0,3.0,3.0,0.41666666666666663,0.25,0.3333333333333333,0.06557377049180328,1.0,0.1275876637093367
0.1481164383561644,189500.07575757575,20.0,6.0,3.0,4.0,2.0,0.41666666666666663,0.5,0.6666666666666666,0.459016393442623,1.0,0.19800028165047176
0.038527397260273974,226403.79710144928,20.0,8.0,3.0,4.0,4.0,0.41666666666666663,0.5,0.6666666666666666,0.01639344262295082,1.0,0.26770877341219546
0.3595890410958904,136867.8103448276,85.0,6.0,1.0,3.0,3.0,0.33333333333333337,0.25,0.3333333333333333,0.6885245901639345,1.0,0.13251654696521614
0.3595890410958904,147408.20441988952,80.0,5.0,2.0,3.0,2.0,0.33333333333333337,0.5,0.3333333333333333,0.6721311475409837,1.0,0.17610195747077875
0.06934931506849315,189500.07575757575,20.0,7.0,2.0,4.0,2.0,0.41666666666666663,0.5,0.6666666666666666,0.5245901639344263,1.0,0.17194761301225178
